iter	RMSE
0	159556.5764
1	154733.6798
2	150533.703
3	146419.3275
4	142785.8437
5	139350.0782
6	136250.2307
7	133604.4241
8	131168.2167
9	128756.808
10	126533.7002
11	124535.6645
12	122653.1951
13	120730.5314
14	118945.8103
15	117345.8145
16	115917.6729
17	114728.8781
18	113602.9059
19	112561.3921
20	111554.9274
21	110512.0191
22	109500.9168
23	108664.3863
24	107924.7422
25	107177.6546
26	106517.2729
27	105751.0598
28	105031.5645
29	104414.2799
30	103961.1567
31	103458.323
32	102918.7458
33	102527.0844
34	101959.7024
35	101406.2059
36	101001.3821
37	100641.2258
38	100226.7961
39	99847.75945
40	99455.36964
41	98931.3151
42	98431.57587
43	98175.37416
44	97881.81526
45	97612.2561
46	97256.01071
47	97024.99782
48	96776.99858
49	96473.51467
50	96293.64176
51	96048.62501
52	95738.00813
53	95373.4423
54	95183.95146
55	94912.09797
56	94755.48682
57	94577.49201
58	94434.94786
59	94287.16744
60	94129.43624
61	94013.52532
62	93811.91541
63	93616.63378
64	93404.29288
65	93263.15958
66	93094.21393
67	92922.32788
68	92752.53518
69	92540.09226
70	92415.24974
71	92335.14194
72	92218.83608
73	92111.54359
74	92028.13201
75	91917.93161
76	91824.77361
77	91668.95727
78	91513.60603
79	91445.85583
80	91386.17947
81	91281.81503
82	91132.31604
83	90926.99286
84	90850.16775
85	90786.33165
86	90663.1402
87	90569.64029
88	90502.02371
89	90410.06215
90	90231.8005
91	90145.892
92	90103.37323
93	90031.65093
94	89874.04462
95	89815.17963
96	89773.79992
97	89702.4854
98	89579.2582
99	89510.39281
100	89401.20769
101	89346.92089
102	89294.46985
103	89254.91375
104	89198.24281
105	89152.51198
106	89079.00419
107	89001.33854
108	88941.23139
109	88908.67923
110	88846.40824
111	88775.83306
112	88710.11578
113	88636.37813
114	88583.96073
115	88540.65703
116	88490.70622
117	88419.73223
118	88379.89506
119	88345.31179
120	88231.67561
121	88177.16513
122	88136.29952
123	88083.28089
124	88031.0636
125	87960.99127
126	87899.252
127	87845.76417
128	87756.77528
129	87704.01281
130	87670.73428
131	87631.08064
132	87591.50838
133	87520.73418
134	87448.29831
135	87416.90825
136	87376.73715
137	87334.50655
138	87312.42644
139	87287.50697
140	87249.19087
141	87203.49938
142	87160.48839
143	87119.55631
144	87084.90174
145	87022.39473
146	86973.55123
147	86938.96418
148	86853.81977
149	86754.73124
150	86711.95469
151	86674.90356
152	86637.4327
153	86597.70901
154	86526.0175
155	86480.17363
156	86443.62899
157	86408.82459
158	86374.73482
159	86332.27416
160	86249.4634
161	86214.06338
162	86143.92242
163	86093.8995
164	86047.64035
165	85990.5624
166	85956.22033
167	85902.35779
168	85869.10707
169	85842.25973
170	85798.52314
171	85770.15609
172	85734.98622
173	85684.33109
174	85625.27287
175	85592.60779
176	85559.40912
177	85519.72429
178	85478.28436
179	85451.40115
180	85410.35667
181	85379.93161
182	85349.8298
183	85262.11355
184	85243.92628
185	85210.2864
186	85168.35072
187	85112.49554
188	85078.06588
189	85043.24247
190	85019.93291
191	84978.90094
192	84914.79384
193	84871.26911
194	84847.03226
195	84820.10913
196	84782.14973
197	84725.34019
198	84708.84051
199	84675.54607
200	84645.32484
201	84605.57432
202	84571.06254
203	84544.11304
204	84508.33103
205	84482.02422
206	84452.66439
207	84426.12886
208	84409.32905
209	84377.6928
210	84350.40969
211	84322.88371
212	84296.41941
213	84267.17644
214	84245.71541
215	84232.78871
216	84194.30665
217	84162.63261
218	84129.79667
219	84101.80878
220	84076.00631
221	84053.16149
222	84031.62197
223	84008.77107
224	83962.89947
225	83950.62048
226	83906.28516
227	83869.30604
228	83834.986
229	83808.44737
230	83793.76771
231	83760.10684
232	83725.37374
233	83703.2764
234	83651.21745
235	83602.7551
236	83580.97534
237	83550.97992
238	83521.03136
239	83498.04661
240	83470.22228
241	83446.68863
242	83428.23603
243	83395.7082
244	83367.45793
245	83339.30526
246	83298.4952
247	83276.98932
248	83252.56486
249	83229.22473
250	83198.29798
251	83178.10895
252	83139.0583
253	83110.21795
254	83082.3572
255	83059.20792
256	83043.68147
257	83028.98703
258	82989.5992
259	82968.53754
260	82946.45344
261	82931.50182
262	82904.61141
263	82887.93739
264	82867.81302
265	82843.84684
266	82818.50677
267	82798.86879
268	82775.16241
269	82752.04121
270	82735.71549
271	82712.4787
272	82678.6926
273	82653.96133
274	82629.28834
275	82607.86761
276	82582.34095
277	82561.62856
278	82544.8074
279	82517.27704
280	82500.78252
281	82467.71464
282	82445.81397
283	82417.32424
284	82384.4851
285	82367.47158
286	82337.10784
287	82322.58964
288	82285.47423
289	82263.02818
290	82247.00297
291	82226.6826
292	82211.18745
293	82197.29432
294	82170.40735
295	82152.07527
296	82133.40652
297	82117.19331
298	82094.92449
299	82071.33297
300	82049.18879
301	82014.52938
302	81995.42559
303	81971.05224
304	81948.67965
305	81935.85812
