iter	Passed	Remaining
0	146	146299
1	152	76321
2	160	53498
3	168	41920
4	176	35111
5	183	30420
6	193	27480
7	201	24981
8	210	23125
9	221	21910
10	231	20804
11	240	19837
12	248	18890
13	256	18085
14	264	17399
15	272	16778
16	280	16201
17	287	15695
18	294	15219
19	301	14765
20	308	14379
21	315	14018
22	323	13722
23	330	13433
24	339	13228
25	347	13030
26	356	12855
27	363	12630
28	372	12457
29	378	12252
30	387	12100
31	395	11963
32	405	11891
33	415	11794
34	423	11679
35	432	11579
36	440	11466
37	449	11376
38	459	11315
39	475	11417
40	487	11412
41	498	11369
42	507	11303
43	516	11230
44	524	11138
45	534	11089
46	543	11019
47	553	10977
48	561	10903
49	570	10843
50	580	10810
51	589	10743
52	600	10727
53	619	10844
54	630	10833
55	639	10771
56	648	10724
57	656	10659
58	670	10699
59	690	10817
60	707	10885
61	719	10888
62	730	10871
63	746	10919
64	760	10935
65	775	10968
66	787	10965
67	800	10971
68	814	10990
69	827	10996
70	838	10970
71	849	10945
72	862	10949
73	874	10946
74	886	10932
75	897	10906
76	909	10901
77	920	10877
78	932	10876
79	944	10863
80	960	10891
81	970	10864
82	982	10856
83	994	10840
84	1003	10804
85	1015	10793
86	1027	10781
87	1039	10768
88	1050	10752
89	1065	10770
90	1088	10870
91	1099	10854
92	1112	10851
93	1125	10851
94	1142	10882
95	1151	10840
96	1161	10809
97	1170	10772
98	1180	10739
99	1189	10703
100	1201	10691
101	1210	10659
102	1220	10630
103	1230	10600
104	1240	10576
105	1250	10548
106	1262	10534
107	1272	10509
108	1281	10473
109	1290	10437
110	1299	10406
111	1308	10371
112	1316	10330
113	1324	10291
114	1332	10257
115	1341	10222
116	1349	10183
117	1357	10143
118	1364	10104
119	1372	10062
120	1382	10041
121	1392	10021
122	1400	9985
123	1408	9951
124	1416	9914
125	1424	9877
126	1431	9840
127	1438	9802
128	1446	9765
129	1454	9735
130	1461	9696
131	1468	9656
132	1475	9617
133	1483	9584
134	1489	9545
135	1496	9508
136	1504	9477
137	1512	9444
138	1518	9408
139	1525	9370
140	1536	9360
141	1544	9330
142	1551	9296
143	1558	9263
144	1565	9228
145	1572	9197
146	1579	9166
147	1586	9132
148	1596	9118
149	1604	9093
150	1615	9080
151	1629	9091
152	1648	9126
153	1662	9130
154	1676	9140
155	1692	9154
156	1703	9148
157	1714	9137
158	1725	9126
159	1734	9104
